superlanguage,Pages,Base CER,Fine-tuned CER,CER Improvement,Base WER,Fine-tuned WER,Base Char Accuracy,Fine-tuned Char Accuracy,p-value,Significance
Amuzgo,312,1.0389,0.2139,79.4%,0.857,0.4003,0.5475,0.7903,0.0,***
Lacandón,218,0.2011,0.1373,31.7%,0.4191,0.3281,0.8178,0.8627,0.00187,**
Chinanteco,191,0.4457,0.2678,39.9%,0.7542,0.6293,0.6196,0.7322,3e-05,***
Mazateco,100,1.4678,0.2175,85.2%,0.8292,0.3194,0.5519,0.8006,2e-05,***
Zapoteco,77,1.0727,0.2918,72.8%,0.8616,0.4842,0.515,0.7126,0.0,***
Mixteco,53,0.7487,0.2485,66.8%,0.662,0.384,0.5799,0.7524,0.00122,**
Popoluca,15,0.1559,0.0801,48.6%,0.5742,0.236,0.8441,0.9199,0.0,***
Otomí,3,0.0701,0.0654,6.8%,0.1956,0.2017,0.9299,0.9346,0.32438,ns
